threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
16,Nsight_Systems,3,ERR,ERR,ERR,0,N/A
16,Nsight_Systems,4,ERR,ERR,ERR,0,N/A
16,Nsight_Systems,5,ERR,ERR,ERR,0,N/A
24,Nsight_Systems,1,ERR,ERR,ERR,0,N/A
24,Nsight_Systems,2,ERR,ERR,ERR,0,N/A
24,Nsight_Systems,3,ERR,ERR,ERR,0,N/A
24,Nsight_Systems,4,ERR,ERR,ERR,0,N/A
24,Nsight_Systems,5,ERR,ERR,ERR,0,N/A
32,Nsight_Systems,1,ERR,ERR,ERR,0,N/A
32,Nsight_Systems,2,ERR,ERR,ERR,0,N/A
32,Nsight_Systems,3,ERR,ERR,ERR,0,N/A
32,Nsight_Systems,4,ERR,ERR,ERR,0,N/A
32,Nsight_Systems,5,ERR,ERR,ERR,0,N/A
48,Nsight_Systems,1,ERR,ERR,ERR,0,N/A
48,Nsight_Systems,2,ERR,ERR,ERR,0,N/A
48,Nsight_Systems,3,ERR,ERR,ERR,0,N/A
48,Nsight_Systems,4,ERR,ERR,ERR,0,N/A
48,Nsight_Systems,5,ERR,ERR,ERR,0,N/A
